style_code,name,date,retail_price,pred_resale_price
CQ4227-030,"Air Jordan 35 ""Bred""",2020-11-01,180,165
,"Supreme x Nike Air Max Plus ""White""",2020-11-01,158,172
GY0088,"Pharrell x Adidas NMD Hu ""Pink""",2020-11-01,220,199
365347_89,Puma Suede Classic Puma White-Super Lemon-High Risk Red,2020-11-01,65,57
365347_90,Puma Suede Classic Puma Black-Viridian Green-High Risk Red,2020-11-01,65,57
GY0094,"Pharrell x Adidas NMD Hu ""Aqua""",2020-11-01,220,199
374219_01,Mr Doodle x Puma Sky LX Puma White-Posy Green-Puma Black,2020-11-05,110,110
G55351,"BBC Icecream x Reebok Question Low ""Running Dog""",2020-11-06,130,160
FZ4416,"Adidas ZX 5000 ""The U""",2020-11-06,140,122
374921_07,Puma Suede VTG Peacoat-Puma White,2020-11-06,90,76
FZ4345,"BBC Icecream x Reebok Question Low ""Running Dog""",2020-11-06,130,160
MSVRCJSB,"New Balance Vision Racer ""Sunflower Yellow""",2020-11-06,150,114
374921_05,Puma Suede VTG Puma Black-Puma White,2020-11-06,90,76
DB8148-200,"Nike LeBron 18 ""Los Angeles By Day""",2020-11-06,200,166
FZ4346,"BBC Icecream x Reebok Question Low ""Running Dog""",2020-11-06,130,160
374921_06,Puma Suede VTG High Risk Red-Puma White,2020-11-06,90,76
FY3408,"Packer x Reebok Trinity Premier ""Brown""",2020-11-07,120,156
GY0091,"Pharrell x Adidas NMD Hu ""Yellow""",2020-11-07,220,221
FY3409,"Packer x Reebok Trinity Premier ""Grey""",2020-11-07,120,156
CT1685-100,"Nike Air Max 90 ""Infrared""",2020-11-09,140,147
WS327LVA,"Levi's New Balance 327 Women's ""Light Wash Denim""",2020-11-10,130,104
DA1469-200,"Nike Dunk Low ""Veneer""",2020-11-10,100,106
BQ5397-101,"Nike Adapt BB 2.0 ""White Cement""",2020-11-10,350,240
MS327LVA,"Levi's x New Balance 327 ""Navy Denim"" ",2020-11-10,130,136
MS327LVB,"Levi's x New Balance 327 ""Grey Denim""",2020-11-10,130,136
BQ6817-009,"Nike SB Dunk Low Pro ""Atmos Elephant""",2020-11-11,158,143
H02795,"Adidas Yeezy Boost 350 V2 ""Fade""",2020-11-11,220,165
CJ1229-400,"Nike Air Presto ""Navy""",2020-11-11,130,125
194039_01,Puma Clyde All-Pro Puma White-Blue Atoll,2020-11-11,130,97
194039_03,Puma Clyde All-Pro Puma White-Puma Black,2020-11-11,130,97
DC0589-002,"Nike Kyrie 7 Pre-Heat ""Soundwave""",2020-11-11,158,143
DC0589-003,"Nike Kyrie 7 Pre-Heat ""Expressions""",2020-11-11,158,143
DC0589-600,"Nike Kyrie 7 Pre-Heat ""Icons of Sport""",2020-11-11,158,143
BBKLSSB1,"New Balance Kawhi ""Seismic Moment""",2020-11-11,160,119
DC0589-400,"Nike Kyrie 7 Pre-Heat ""Special FX""",2020-11-11,158,143
DH8565-100,"Air Jordan 5 Retro ""What The""",2020-11-12,220,233
CQ4227-001,"Air Jordan 35 ""DNA""",2020-11-12,180,174
CJ0609-600,"Nike Air Max 1 ""Strawberry Lemonade""",2020-11-12,140,128
CV1363-100,"Sacai x Nike VaporWaffle ""Sail""",2020-11-13,180,202
CZ8149-101,"Nike Dunk High ""Pure Platinum""",2020-11-13,120,119
CV1363-001,"Sacai x Nike VaporWaffle ""Black""",2020-11-13,180,202
FZ4932,Reebok Club C Cardi Instinct Red/Instinct Red/Clear,2020-11-13,100,103
G54853,"Adidas Yeezy 700 V3 ""Safflower""",2020-11-14,200,159
DC1788-100,"Air Jordan 1 Retro High OG CO.JP ""Midnight Navy""",2020-11-14,170,208
DA9784-200,"Nike Overbreak ""Baroque Brown""",2020-11-17,140,132
306720_02,"Porsche x Puma Future Rider ""Guards Red""",2020-11-17,150,139
306720_01,"Porsche x Puma Future Rider ""Oak Green""",2020-11-17,150,139
CZ2670-001,"Cactus Plant Flea Market x Nike Dunk Low ""Platinum""",2020-11-18,550,419
GY0093,Pharrell x Adidas NMD Hu Core Black/Core Black/Core Black,2020-11-19,220,209
DA1469-001,"Nike Dunk Low ""Ceramic""",2020-11-19,100,103
195315_01,"Puma Clyde All-Pro ""Elf""",2020-11-19,130,94
H68850,"Hot Ones x Reebok Classic Leather ""Medium""",2020-11-19,100,131
GV7128,"Marvel x Adidas Superstar ""Miles Morales""",2020-11-19,90,116
DC1454-101,"Nike Air Max 1 ""Magma Orange""",2020-11-19,140,128
H68847,"Hot Ones x Reebok Club C ""Mild""",2020-11-19,100,131
H68851,"Hot Ones x Reebok Shaqnosis ""Hot""",2020-11-19,160,178
FZ4006,"Reebok Kamikaze II ""Alternates""",2020-11-20,120,116
FY8852,"Bape x Undefeated x Adidas ZX 8000 ""Black""",2020-11-20,140,159
H00847,"Reebok Question Mid ""Alternates""",2020-11-20,140,129
CJ1229-401,"Nike Air Presto ""Soar""",2020-11-20,130,125
FY8851,"Bape x Undefeated x Adidas ZX 8000 ""Green""",2020-11-20,140,159
CT8532-050,"Air Jordan 3 Retro ""Court Purple""",2020-11-21,190,224
DA2372-100,"Air Jordan 35 ""Bayou Boys""",2020-11-21,200,197
DC6887-200,"Concepts x Nike SB Dunk High ""TurDunken""",2020-11-23,120,173
CD4991-700,"Nike Kobe 5 Protro ""Bruce Lee""",2020-11-24,180,156
CD4991-101,"Nike Kobe 5 Protro ""Bruce Lee Alt""",2020-11-24,180,156
CJ0609-700,"Nike Air Max 1 ""Lemonade""",2020-11-25,140,132
GY0092,Pharrell x Adidas NMD Hu Core White/Core White/Core Black,2020-11-25,220,215
DD3223-100,"G-Dragon x Nike Air Force 1 Low ""Para-noise""",2020-11-25,158,186
H02526,"Adidas Yeezy Boost 380 ""Onyx Reflective""",2020-11-27,230,169
194836_01,Puma Clyde All-Pro Kuzma Mid Puma White,2020-11-27,150,106
FZ0829,PAM PAM x Adidas ZX 1000,2020-11-27,130,152
FZ1270,"Adidas Yeezy Boost 380 ""Onyx""",2020-11-28,230,175
DC7770-160,"Air Jordan 4 Retro ""Fire Red""",2020-11-28,200,231
555088-032,"Air Jordan 1 Retro High OG ""Metallic Gold""",2020-11-30,170,226
F36640,"Adidas Yeezy 500 ""Utility Black""",2020-11-30,200,173
DB5074-100,"Nike Air Max 1 ""Spiral Sage""",2020-11-30,150,154
